subscription_id,customer_id,plan_id,billing_period,period_start,period_end,subscription_start,subscription_end,invoice_id
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-07-01,2025-08-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-08-01,2025-09-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-09-01,2025-10-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-10-01,2025-11-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-11-01,2025-12-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-12-01,2026-01-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-01-01,2026-02-01,2024-12-10,2026-12-10,inv_01KMZZ3G0186ZBPP6PMQB87ETQ
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-02-01,2026-03-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2024-12-10,2026-12-10,
subs_01KG4WXAB9W98R539KAQ74TH1X,cust_01KFGPZGM1CG0SSTQYQ53WEM810,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-07-16,2026-07-16,inv_01KMZYSZQ9QBVWK99F9WZDNPTX
subs_01KJAHPJRJFE0JC0H508ENS7MK,cust_01KJAHPJP1SXNZQ7XZ2RE61KRG,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-01-27,2027-01-27,inv_01KMZYTFCW13QGHYJW2SEFWV2F
