customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KHGPV0ZCD6T3HXMX5JNVRXXJ,subs_01KHGPV1M3GHFKA86NQ8CD05TW,inv_01KK9DE0DJYJK3DEECM4GHGVJY,2026-02-15T13:11:33Z,2026-03-01T00:00:00Z,586.32,586.32,0.00,true
cust_01KHGGKF3ZRKMBKB7S0W9NBJE5,subs_01KHGGKF971XYZ6ZHHXAS0QA9M,inv_01KJKB9WK6KYZR1S0AQ19VGA1M,2026-02-15T11:22:34Z,2026-03-01T00:00:00Z,78.10,78.11,-0.01,true
cust_01KHFKFPKANPPD3A51DAH473EJ,subs_01KHFKFPSWX3N26P1YXWJYZP1N,inv_01KK9DPVHB9VBZ9GQBJPGX33NN,2026-02-15T02:53:42Z,2026-03-01T00:00:00Z,628.31,628.30,0.01,true
cust_01KHFMGJWVCSTB0KRBJR2NDN6G,subs_01KHFMGK5Y2PB5HPSD08M9MKAQ,inv_01KJKBA16887DR2S1XVFPA8FQD,2026-02-15T03:11:39Z,2026-03-01T00:00:00Z,1299.22,1299.22,0.00,true
cust_01KHETAZTVHPQ6JGTPE68KQB1K,subs_01KHETAZYJMHV48MGC9K2JXXY0,inv_01KJKB6KH2W757TCSJZD70SCF3,2026-02-14T19:34:13Z,2026-03-01T00:00:00Z,228.45,228.45,0.00,true
cust_01KHDBS4ZPN1W8S2W9GHPTSTDR,subs_01KHDBS566NFZPPCB12V9GGTPR,inv_01KJKB71D0P6TGYS5N9K0E4VRX,2026-02-14T06:00:34Z,2026-03-01T00:00:00Z,328.13,328.12,0.01,true
cust_01KHDF58ENBKJ6S1QFHNZJYEX1,subs_01KHDF58M7D0NJ3X3NWWBGVYCJ,inv_01KJKB7GB8XE0MNCJAVZ3DMJ0Z,2026-02-14T06:59:36Z,2026-03-01T00:00:00Z,2458.41,2458.41,0.00,true
cust_01KHC7TPDQDJ923M6Z39NMNVEX,subs_01KHC7TPJ4VC6ENQBX90PJHV32,inv_01KJKB7F5C0FNJN8SBJ2QXR90F,2026-02-13T19:32:15Z,2026-03-01T00:00:00Z,1324.38,1324.38,0.00,true
cust_01KHBXDX9JJQH3AX4EP6SXDJ2V,subs_01KHBXDXDK2P98AMPDN5TX29Q8,inv_01KK9DNXVX972QPM6WPV36TKJ2,2026-02-13T16:30:31Z,2026-03-01T00:00:00Z,404.31,404.32,-0.01,true
cust_01KHB7HTR6HT2KX9AEED3JDTDF,subs_01KHB7HV1H7PCYD4CR5HKPG65C,inv_01KJKEJFR5DZFED1X2AHBAJV9W,2026-02-13T10:08:11Z,2026-03-01T00:00:00Z,0.71,0.71,0.00,true
cust_01KHAW04DZWTPFTHRSM68QQ5TJ,subs_01KHAW04HT0BABRMQ9SPTSAYXC,inv_01KJKBBJT7DDRKTZD82A61ZQ9M,2026-02-13T06:46:16Z,2026-03-01T00:00:00Z,62.42,62.41,0.01,true
cust_01KH9DPJ9MJ5W69SND3S7KP7B2,subs_01KH9DPJFPK2BCWSEED3HQAAS8,inv_01KJKB7EC5AKRTXCFPJJZKTPD2,2026-02-12T17:17:08Z,2026-03-01T00:00:00Z,9.34,9.34,0.00,true
cust_01KH8FQA4GPSZ6KSCM4PRE0W6M,subs_01KH8FQA8R2RPT2H00H7F6FV7R,inv_01KJKBAN0G7HN3H82TJ9JKBP7X,2026-02-12T08:33:16Z,2026-03-01T00:00:00Z,83241.33,83241.32,0.01,true
cust_01KH8FJ4M7Y7SNHEEEC6W8RGQJ,subs_01KH8FJ4TPZYTD3HMY30W3QXRD,inv_01KJKBBSHCQVPHFSMCWDN538FB,2026-02-12T08:30:26Z,2026-03-01T00:00:00Z,111.55,111.55,0.00,true
cust_01KH66QT0GW0DBGXEM46VRT5P4,subs_01KH66QT6TME6929SCGASQ2D3Z,inv_01KJKBAQJH1K5GPZPAJ3402TDW,2026-02-11T11:17:46Z,2026-03-01T00:00:00Z,123.94,123.93,0.01,true
cust_01KH552NFJ5EE0F9B3BBZ30H7E,subs_01KH552NQ62T4M8623N00XKH3X,inv_01KJKJVE6J2RS6NWYZWCJMM445,2026-02-11T01:29:30Z,2026-03-01T00:00:00Z,1.67,1.67,0.00,true
cust_01KH4DE37SB82MHH8WR8B29D3X,subs_01KH4DE3CAC3Y2AWGAFA5Y9GKB,inv_01KJKJV8MFWNRVBPJ78BKR9MY4,2026-02-10T18:36:19Z,2026-03-01T00:00:00Z,520.38,520.38,0.00,true
cust_01KH3R8SWM2H9M2V83BC6AMTQ2,subs_01KH3R8T2VQP45NT483159Q90B,inv_01KJKBARE4A2F506V3350XK9RT,2026-02-10T12:26:25Z,2026-03-01T00:00:00Z,14.30,14.30,0.00,true
cust_01KH3NCZ24KTZ66BXZR2RKK7FA,subs_01KH3NCZ83J2N5R2QT3AGRZ64Q,inv_01KJKBCSRMS7FF65KTZTGAK2FY,2026-02-10T11:36:16Z,2026-03-01T00:00:00Z,620.37,620.37,0.00,true
cust_01KH1P60MC36WGQ2Q8S5MAN3K8,subs_01KH1P61RG18PYTXEKVK468ZQ5,inv_01KJKB84EV6CA9BSMTWEZHD1KH,2026-02-09T17:11:29Z,2026-03-01T00:00:00Z,0.80,0.80,0.00,true
cust_01KH17SGHDRY1H9TTQS3HTNF8G,subs_01KH17SGRPC3RTGSJKGT6C2B6K,inv_01KJKBB3RFVAQ92M10FWSQTZA9,2026-02-09T12:59:58Z,2026-03-01T00:00:00Z,67.50,67.50,0.00,true
