customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KCF4Z8QS3PQZ89GER31N0DSJ,subs_01KCF4Z8RJBBJE3R0AEEGDBFT3,,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.00,,0.00,false
cust_01KC8BBS4RK448M6EE0940Y7PW,subs_01KC8BBS5JG4EERSK3N687PBY1,inv_01KGBBR88HAT4ABE9XYSA9KDTY,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.01,0.01,0.00,true
cust_01KC8FZH3QP2VVC1YK6PRMXM0H,subs_01KC8FZH4TXPRYX4BSSHN90KCA,inv_01KJN0SN7PQ9WYHQKB3YCRA74C,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.41,0.03,0.38,true
cust_01KC8FZH3QP2VVC1YK6PRMXM0H,subs_01KC8FZH4TXPRYX4BSSHN90KCA,inv_01KGBBSD3S07KRQ0PQD2KVF6W3,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,2.46,2.47,-0.01,true
cust_01KC802B7M51NFAV8MWTT01T04,subs_01KC802B8MPMXYGS42BZRVMBK3,inv_01KJN5FR1JN0E40V695DHTECE2,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.01,0.01,0.00,true
cust_01KC7B8ZS6T0V8AA44NDDV9ZE9,subs_01KC7B8ZXRQ2A65E9GRGF8RCAN,inv_01KGBBRA4A3EGJZXQAHZVQDN5Q,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,9.63,9.63,-0.01,true
cust_01KBZDH71H04B58TH6AD6KPHM3,subs_01KBZDH793RTT6KQ4VGCEW8YGA,inv_01KKZQ6GJR46G3YCB8VXFWT3C5,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,10874.75,5809.32,5065.43,true
cust_01KBZDH71H04B58TH6AD6KPHM3,subs_01KBZDH793RTT6KQ4VGCEW8YGA,inv_01KHNXAF38VWZT48A897B1FY92,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,4782.18,4782.26,-0.08,true
cust_01KBG9S5P5X2ZFV2XTXADEEA12,subs_01KBG9S5Z2YBT5NGMVZ91A6PDJ,inv_01KJN0SSV0J6RFPNE2N4H9SPWT,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.85,0.85,0.00,true
cust_01KBG9S5P5X2ZFV2XTXADEEA12,subs_01KBG9S5VHXW5S67Z2G31DSNP7,inv_01KJN0SQ8HHR4F4V26V4A180Z5,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.27,0.27,0.00,true
cust_01KAX55K0WDGSE2WXFA9FKWZH5,subs_01KAX55K1S4QQ3VY0KP5M8A50Y,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KAX52RRYWYPYF2KYYE77QWZY,subs_01KAX52RSR9GJ7DWF9SEVT8MDX,,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.00,,0.00,false
cust_01KA70RV3F85TBZZZACEXY3Y29,subs_01KA70RV5HC4CGDP2ZJT1A516H,inv_01KKZQY6535WBS2ZVMGRPX39J7,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.03,0.03,0.00,true
cust_01K9EVW2K5R8BK34P02ZJE87K4,subs_01K9EVW2M2WSFMMWDPKA4HKXAN,inv_01KJN1BMHFZMT3J2JHPGER1G1N,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.56,0.56,0.00,true
cust_01K8N05BB7DMKCFTS8ZEJWHGYK,subs_01K8N05BG2F63QBPCZ0Y29E9DX,inv_01KGBD2C3VT8QVTR588QYG5BJ8,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,48.67,48.67,0.00,true
cust_01K6ZRG3KP61J6A1A9E9HG5W7B,subs_01K6ZRG41K3FPZ521X46Z5NR6K,inv_01KGBBZNS7RZRRR95FC72J4EEX,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,47.50,47.50,0.00,true
cust_01K6ZRG3KP61J6A1A9E9HG5W7B,subs_01K6ZRG3XTBN8V6GC2EJAR2S2J,inv_01KGBBVPAX1AZ01TK5EGS18A8P,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,1173.83,1175.56,-1.73,true
cust_01K6ZRG3KP61J6A1A9E9HG5W7B,subs_01K6ZRG3S4MDXGAXA6PJ3KQDJK,inv_01KGBE0XZRB0QZ8PXJM25JPCXX,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.02,0.02,0.00,true
cust_01K6XNVKEZ6X9QXGNKFXSDVJA4,subs_01K6XNVKG6HKZNW83T0BKGJ2GP,inv_01KJN1BR1JHZVB7B87VHE0AYBZ,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.02,0.02,0.00,true
cust_01JSCQMHR985NT2HPHX44PVCF1,subs_01K6MVSVPQWEB69D16N12GVJP6,inv_01KKZSYTHNS6GBBVHEW71VMR2X,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,461.30,461.30,0.00,true
cust_01JSCQMHR985NT2HPHX44PVCF1,subs_01K6MVSVPQWEB69D16N12GVJP6,inv_01KKZSZ0SAM2ETRVMRNN88BZHW,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,1532.41,1532.44,-0.03,true
cust_01K6GHJTYSSR73M39Y56JGFMRG,subs_01K6GHJV2JYZRR7Q4AZF2R4PMW,inv_01KJN1C1JY7ZWVB2N14GC1SAEQ,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.20,0.20,0.00,true
cust_01K6AP819M1YX2GKBF2H84V2GB,subs_01K6AP81AKSX438BK0SNPBASGK,inv_01KJN3RY07P57HE4YQW9PCFR5K,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.03,0.02,0.01,true
cust_01K6AP819M1YX2GKBF2H84V2GB,subs_01K6AP81AKSX438BK0SNPBASGK,,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.00,,0.00,false
cust_01K6AP819M1YX2GKBF2H84V2GB,subs_01K6AP81DAMKV583MHMZQV2JNG,inv_01KJN3RYJXK5S1B7Z2P8DBPK3E,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,1189.87,1189.87,0.00,true
cust_01K62TAZXCKMB68MCWESW8E1W0,subs_01K62TAZY6CVPY8DQ8ZGJTS2EV,inv_01KJN0VDGPW4K39SXHTNE2FKM4,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,488.64,488.61,0.03,true
cust_01K62TAZXCKMB68MCWESW8E1W0,subs_01K62TAZY6CVPY8DQ8ZGJTS2EV,inv_01KGC3HKKPDQW4RKRD18W1Z633,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,22.07,22.05,0.02,true
cust_01JSCQM13KYM7WG9K0GS984NH3,subs_01K4YD5SY0RWMVWYFK5AWZ6QD8,inv_01KKJZXEKBRQY0JB0D8RS9GWVZ,2026-02-13T07:00:00Z,2026-03-13T07:00:00Z,1292.28,1292.33,-0.06,true
cust_01JSCQM13KYM7WG9K0GS984NH3,subs_01K4YD5SY0RWMVWYFK5AWZ6QD8,inv_01KHAWSAD7A45MYW1C0Z69G6GX,2026-01-13T07:00:00Z,2026-02-13T07:00:00Z,1989.13,1991.75,-2.63,true
cust_01K4VJ297R23WNVM9Q0Z0WQ1ME,subs_01K4VJ29BD7FAYNZ36AGWYVJ1C,inv_01KKD330MVSFY826PK8DMT7B4C,2026-02-11T00:00:00Z,2026-03-11T00:00:00Z,2115.87,2115.93,-0.06,true
cust_01K4VJ297R23WNVM9Q0Z0WQ1ME,subs_01K4VJ29BD7FAYNZ36AGWYVJ1C,inv_01KH4ZYVJTGSSQ4GGEKWCEJ2AZ,2026-01-11T00:00:00Z,2026-02-11T00:00:00Z,2416.87,2418.14,-1.27,true
cust_01K4Q02WSBNR753KWAH7VJT17S,subs_01K4Q02WX1CTS8QQQBRKJRWPE6,inv_01KGZV5CZQDM6CVHNMDE6RVJGM,2026-01-09T00:00:00Z,2026-02-09T00:00:00Z,2858.40,2862.40,-4.00,true
cust_01K4M76JVQX7A0AHJBNKJHDMHE,subs_01K4M76JWE1GA1E8PSY28ZSHDP,,2026-02-08T00:00:00Z,2026-03-08T00:00:00Z,0.00,,0.00,false
cust_01K4M76JVQX7A0AHJBNKJHDMHE,subs_01K4M76JWE1GA1E8PSY28ZSHDP,inv_01KGX8RNSCMG0B1T1H8R06F3NJ,2026-01-08T00:00:00Z,2026-02-08T00:00:00Z,1.90,1.90,0.00,true
